time (ms),L2_RQSTS.REFERENCES-0,L2_RQSTS.REFERENCES-1,L2_RQSTS.REFERENCES-2,L2_RQSTS.REFERENCES-3,L2_RQSTS.REFERENCES-4,L2_RQSTS.REFERENCES-5,LONGEST_LAT_CACHE.REFERENCE-0,LONGEST_LAT_CACHE.REFERENCE-1,LONGEST_LAT_CACHE.REFERENCE-2,LONGEST_LAT_CACHE.REFERENCE-3,LONGEST_LAT_CACHE.REFERENCE-4,LONGEST_LAT_CACHE.REFERENCE-5,BR_INST_RETIRED.ALL_BRANCHES-0,BR_INST_RETIRED.ALL_BRANCHES-1,BR_INST_RETIRED.ALL_BRANCHES-2,BR_INST_RETIRED.ALL_BRANCHES-3,BR_INST_RETIRED.ALL_BRANCHES-4,BR_INST_RETIRED.ALL_BRANCHES-5,BR_MISP_RETIRED.ALL_BRANCHES-0,BR_MISP_RETIRED.ALL_BRANCHES-1,BR_MISP_RETIRED.ALL_BRANCHES-2,BR_MISP_RETIRED.ALL_BRANCHES-3,BR_MISP_RETIRED.ALL_BRANCHES-4,BR_MISP_RETIRED.ALL_BRANCHES-5,INST_RETIRED.ANY-0,INST_RETIRED.ANY-1,INST_RETIRED.ANY-2,INST_RETIRED.ANY-3,INST_RETIRED.ANY-4,INST_RETIRED.ANY-5,CPU_CLK_UNHALTED.THREAD-0,CPU_CLK_UNHALTED.THREAD-1,CPU_CLK_UNHALTED.THREAD-2,CPU_CLK_UNHALTED.THREAD-3,CPU_CLK_UNHALTED.THREAD-4,CPU_CLK_UNHALTED.THREAD-5,CPU_CLK_UNHALTED.REF_TSC-0,CPU_CLK_UNHALTED.REF_TSC-1,CPU_CLK_UNHALTED.REF_TSC-2,CPU_CLK_UNHALTED.REF_TSC-3,CPU_CLK_UNHALTED.REF_TSC-4,CPU_CLK_UNHALTED.REF_TSC-5
667,3754.074,4012.593,3772.593,3160.741,3576.296,6412.593,4677.037,4965.185,5174.074,3717.778,4994.074,8008.889,4712.593,4433.333,2912.593,7799.259,2796.296,27715.556,345.185,320.741,277.037,311.852,267.407,858.519,21184.444,20422.963,13867.407,34648.148,13114.074,139160.741,93490.370,86405.926,77020.741,97248.889,72047.407,209791.111,157646.667,154960.000,89786.667,188586.667,85626.667,540020.000
693,4050.769,4103.077,3782.308,3422.308,8154.615,9841.538,4815.385,4771.538,5174.615,4295.385,11243.077,12798.462,4892.308,4666.154,3126.923,8187.692,7354.615,30512.308,351.538,343.077,290.769,353.846,698.462,1040.769,22002.308,21433.077,14573.846,36283.846,34559.231,152275.385,86209.231,89442.308,69391.538,100057.692,150906.154,287580.769,109440.000,114120.000,98370.000,123660.000,197370.000,295110.000
720,3721.481,7702.963,3757.778,3537.037,3614.815,6488.148,4499.259,10135.556,5130.370,3904.444,5040.741,7857.778,4645.926,7128.889,2909.630,7808.889,2770.370,27964.444,351.111,590.370,290.370,342.222,269.630,858.519,21005.185,33479.259,13887.407,34695.556,13056.296,140144.444,73467.407,125398.519,55073.333,82220.000,54654.815,197846.667,175066.667,337480.000,153573.333,190060.000,152793.333,380380.000
747,4451.111,4082.963,3810.370,2100.741,3632.593,7678.519,5287.407,5371.111,5168.889,2745.185,5030.370,8510.370,5168.148,4540.741,3013.333,3000.000,2871.852,31847.407,414.815,331.111,277.778,195.556,268.148,916.296,23616.296,20832.593,14245.185,13852.593,13438.519,157095.556,78274.815,73318.519,54861.481,49808.148,54577.778,216900.000,244486.667,229320.000,171513.333,156000.000,170646.667,678080.000
773,4663.077,4283.077,3936.154,2215.385,3673.846,11348.462,5485.385,5346.154,5452.308,2842.308,4968.462,13602.308,5258.462,5103.077,3013.077,3057.692,2820.769,35228.462,419.231,378.462,286.154,247.692,272.308,1252.308,23992.308,23773.846,14405.385,14247.692,13320.000,173537.692,78943.846,73696.154,58200.000,52197.692,46654.615,267507.692,247140.000,230130.000,181890.000,162900.000,145800.000,836730.000
800,4532.593,4060.741,3647.407,2057.037,3828.889,7495.556,5362.963,5149.630,5002.963,2564.444,5277.037,8334.815,5060.000,4497.037,2888.148,2954.815,2824.444,31597.037,403.704,325.185,254.074,227.407,274.815,911.852,23070.370,20714.815,13595.556,13731.111,13473.333,155914.074,78868.148,72635.556,53988.148,52620.741,52615.556,216043.704,246393.333,227066.667,168913.333,164493.333,164580.000,675740.000
827,3699.259,3894.074,2285.185,3332.593,2533.333,6267.407,4581.481,4760.000,2945.185,4102.222,3271.852,7722.963,4651.111,4562.963,2891.111,7895.556,2823.704,27920.000,312.593,334.815,246.667,374.074,266.667,840.741,20971.852,20960.000,13584.444,34990.370,13472.593,139697.037,76691.111,84830.370,61230.370,95619.259,61442.222,191454.815,239980.000,265460.000,191706.667,298913.333,192313.333,598866.667
853,4488.462,4040.000,2046.154,2044.615,2386.154,7818.462,5315.385,5207.692,2707.692,2596.923,3080.769,9013.846,5381.538,4813.846,3103.077,3194.615,3033.846,32843.846,381.538,325.385,225.385,243.846,243.846,964.615,24392.308,22080.000,14494.615,14691.538,14357.692,161936.923,87170.000,80450.769,64909.231,61786.923,65699.231,233052.308,272340.000,251280.000,202680.000,193320.000,205380.000,728730.000
880,4314.815,4845.926,3052.593,4656.296,3132.593,7745.926,4247.407,5234.074,4031.852,5977.037,3923.704,9710.370,4654.815,4539.259,2815.556,7903.704,2719.259,27660.000,250.370,264.444,268.148,390.370,265.926,868.889,21048.148,20988.148,13285.185,35366.667,12835.556,138952.593,72705.185,75824.444,60211.852,136695.556,61288.148,191266.667,152793.333,158860.000,88226.667,227933.333,89786.667,510726.667
907,3677.778,3879.259,3736.296,3025.185,8478.519,9617.778,4144.444,4636.296,5261.481,3603.704,11344.444,13336.296,4724.444,4571.852,2922.963,3385.185,7537.037,33760.000,359.259,350.370,270.370,291.852,740.741,1131.852,21217.037,20981.481,13725.185,15642.963,35640.741,165771.111,101880.741,106439.259,81085.926,88419.259,189317.778,304962.963,89700.000,94033.333,69160.000,77306.667,156260.000,275946.667
933,3668.462,2884.615,3707.692,3725.385,7850.769,6959.231,4633.846,3504.615,5090.769,4733.846,10693.077,8843.077,4822.308,4696.923,3008.462,8112.308,6556.923,29069.231,357.692,293.846,291.538,330.769,598.462,916.923,21648.462,21512.308,14103.846,35902.308,31889.231,145396.923,100721.538,94247.692,77289.231,111276.154,187602.308,240638.462,82890.000,77130.000,63990.000,92430.000,149850.000,191970.000
960,3441.481,2917.778,3628.148,3614.074,3557.037,10634.074,4442.222,3637.778,5048.148,4307.407,4924.444,14202.963,4658.519,4526.667,2925.926,7789.630,2821.481,30423.704,365.185,300.000,285.926,327.407,268.889,1132.593,20938.519,21002.222,13694.074,34501.481,13212.593,151648.889,88399.259,84651.111,65485.185,100095.556,65522.222,292734.074,97760.000,95073.333,79906.667,107900.000,79733.333,276206.667
987,4917.778,5109.630,3585.185,2556.296,3737.778,6924.444,4911.852,6140.000,4895.556,3183.704,5137.778,8975.556,5897.778,4999.259,2882.963,2900.741,2914.074,31745.926,297.037,413.333,277.778,288.889,280.000,971.852,26751.111,23277.037,13622.222,13389.630,13773.333,156423.704,96941.481,84871.111,56040.000,56034.074,55840.000,208754.074,201066.667,185466.667,151320.000,146380.000,151233.333,350393.333
1014,3171.852,3124.444,3780.741,2561.481,3513.333,6495.556,4027.407,3991.111,5110.370,3226.667,4839.259,8383.704,5116.296,4850.370,2911.111,2868.148,2783.704,31528.148,340.741,308.148,276.296,280.000,262.963,930.370,23344.444,22528.889,13861.481,13305.926,13091.111,155543.704,76397.778,74415.556,53103.704,53694.815,52880.000,194022.222,238940.000,232700.000,166053.333,168046.667,165360.000,606580.000
1040,3413.846,3317.692,3722.308,2499.231,3868.462,10543.846,4357.692,4057.692,5053.077,3196.923,5297.692,14159.231,5283.077,5030.769,2982.308,2978.462,2925.385,35146.923,390.000,360.000,286.154,281.538,286.154,1225.385,24109.231,23392.308,14079.231,13833.846,13934.615,173198.462,83096.923,78396.154,55610.769,55716.923,55453.077,240954.615,259830.000,245160.000,173880.000,174420.000,173430.000,753480.000
1067,3024.444,3454.074,2285.185,7457.037,7816.296,3922.222,3718.519,4362.222,2850.370,9911.111,10811.852,5281.481,5100.741,4862.963,2820.741,31644.444,5279.259,2998.519,405.926,377.037,262.222,1055.556,465.185,309.630,23277.778,22619.259,13317.037,156287.407,25611.111,14133.333,75131.852,76148.889,49666.667,202221.481,111022.963,53358.519,234866.667,238073.333,155826.667,632753.333,347100.000,166660.000
1094,4526.667,4661.481,2568.889,4551.111,9803.704,3321.481,6060.741,5580.741,3013.333,6517.778,10754.815,3769.630,4740.000,4900.000,2922.963,4187.407,33592.593,3181.481,480.741,363.704,249.630,382.963,1111.852,282.963,21384.444,22745.185,13931.111,19624.444,165629.630,14660.000,90731.111,92558.519,57278.519,92862.222,246677.037,65390.370,283573.333,289380.000,178880.000,290593.333,771680.000,204706.667
1120,5196.923,5128.462,2707.692,2595.385,7266.154,2683.077,7062.308,6774.615,3394.615,3293.077,9587.692,3138.462,5775.385,5436.154,3710.769,3845.385,33660.769,2979.231,558.462,555.385,334.615,276.923,1063.077,266.154,26627.692,25404.615,17686.154,18159.231,165566.923,13817.692,98227.692,85239.231,65589.231,67496.154,216685.385,57410.769,307260.000,266490.000,205020.000,210960.000,677340.000,179640.000
1147,6057.778,5432.593,2028.148,2192.593,6003.704,7116.296,8380.741,7483.704,2682.963,2819.259,8021.481,8916.296,4714.815,4916.296,2818.519,2890.370,5495.556,31705.926,474.074,400.000,237.778,228.889,546.667,932.593,21260.741,22959.259,13248.148,13378.519,26259.259,156508.889,80662.963,76662.222,49900.741,51454.074,107077.778,189617.778,252546.667,239546.667,156000.000,160853.333,334793.333,592713.333
1173,5361.538,6230.769,44546.154,5000.000,8840.769,6804.615,7130.769,8562.308,46261.538,6380.769,11814.615,9058.462,4953.077,4719.231,311103.077,8030.000,7648.462,29163.846,514.615,475.385,11544.615,300.769,718.462,869.231,22590.769,21611.538,1585384.615,35690.769,36529.231,145855.385,106410.769,105425.385,1347373.077,74748.462,268536.154,208232.308,182070.000,174510.000,1037520.000,159840.000,242910.000,500760.000
1200,3765.926,4758.519,2036.296,4734.815,3177.037,7254.815,4726.667,6371.852,2460.000,6662.222,4245.185,8882.222,4656.296,4424.444,2822.963,7872.593,2743.704,28621.481,469.630,437.037,237.037,422.963,310.370,997.778,21014.074,20408.148,13322.963,35174.815,12965.185,143625.185,91955.556,89160.741,57793.333,93805.185,45660.000,236989.630,113013.333,111280.000,83720.000,122720.000,63960.000,241106.667
1227,4777.778,4340.000,3225.926,3178.519,4471.852,8010.370,5507.407,4368.148,4441.481,3457.778,5900.741,10316.296,4657.778,4417.037,2904.444,2862.222,7632.593,27821.481,364.444,200.000,254.074,168.889,444.444,910.370,21055.556,20371.852,13838.519,13282.963,34143.704,139622.222,80454.815,61315.556,63741.481,48349.630,75591.852,218339.259,195000.000,145253.333,181220.000,129913.333,185813.333,436453.333
1253,5277.692,4600.769,4206.923,4057.692,4046.154,7616.923,6736.154,5641.538,5818.462,5326.923,5600.769,9657.692,4925.385,4628.462,3269.231,8154.615,2933.077,28958.462,360.769,284.615,279.231,389.231,296.923,894.615,22262.308,21283.077,15405.385,36399.231,13854.615,145097.692,86530.769,81686.154,63321.538,81101.538,62200.769,196383.846,270450.000,255690.000,197730.000,253800.000,194400.000,614070.000
1280,4389.630,4338.519,3659.259,7937.037,8285.185,2082.963,5018.519,5782.222,4920.000,8841.481,11719.259,2641.481,5067.407,4820.000,2818.519,31591.111,5742.222,2883.704,437.778,410.370,280.741,911.852,544.444,256.296,23096.296,22392.593,13313.333,155930.370,27425.185,13461.481,76811.111,75456.296,46637.778,218127.407,129022.222,50175.556,240240.000,236166.667,145860.000,682066.667,403433.333,156953.333
1307,4777.778,4802.963,3597.778,8593.333,7810.370,4872.593,5448.889,6140.000,4905.185,9118.519,10627.407,6876.296,5114.815,4459.259,2888.148,31730.370,7088.148,4297.037,384.444,417.778,260.000,905.926,671.852,373.333,23244.444,20465.926,13581.481,156305.185,33581.481,19988.889,81370.370,77090.370,51829.630,218024.444,117800.741,91627.407,254540.000,241106.667,161980.000,682500.000,368506.667,286433.333
1333,4523.077,5093.077,3920.769,12471.538,7866.154,2123.077,5603.846,6600.000,5305.385,14526.923,11403.846,2733.077,4863.846,5148.462,3026.923,35719.231,5549.231,2977.692,396.923,518.462,280.769,1260.769,569.231,256.923,22043.077,24110.769,14406.154,175630.769,26182.308,13818.462,86113.077,97210.000,56001.538,307276.923,127860.769,52652.308,269280.000,304020.000,175320.000,959850.000,399510.000,164520.000
1360,4321.481,4333.333,3611.852,8040.741,3999.259,2184.444,5102.222,5528.889,4922.222,9001.481,5445.185,2873.333,5067.407,4842.222,2866.667,31705.926,2838.519,2845.926,411.111,394.074,290.370,983.704,280.000,271.852,23096.296,22498.519,13520.741,156454.815,13617.037,13207.407,77308.148,76682.963,53711.111,220991.111,54486.667,50384.444,241800.000,239806.667,167873.333,691426.667,170386.667,157473.333
1387,3534.074,4150.370,3766.667,6522.222,3561.481,3365.926,4290.370,5120.000,5026.667,8098.519,4977.037,3830.370,4670.370,4504.444,2929.630,27949.630,2811.852,8205.185,319.259,303.704,266.667,885.926,238.519,337.037,21097.778,20675.556,13989.630,140011.852,13285.185,36434.074,73985.926,75954.074,53239.259,190429.630,52999.259,84433.333,231313.333,237640.000,166573.333,595486.667,165706.667,263986.667
1413,4020.000,3778.462,4188.462,7414.615,4075.385,3898.462,4883.077,4442.308,5628.462,8546.923,5096.154,4811.538,4854.615,4585.385,3851.538,29466.923,3773.077,8778.462,336.154,333.846,360.000,867.692,346.923,416.923,21963.077,21112.308,18350.769,147364.615,18178.462,38846.923,74996.923,75440.000,64540.000,197500.769,64571.538,94255.385,234810.000,236070.000,201960.000,617580.000,201960.000,294930.000
1440,6440.000,3902.222,3228.148,8034.815,3716.296,3070.370,8018.519,4887.407,3999.259,7937.037,5216.296,3823.704,7110.370,4422.963,4089.630,28072.593,2785.185,7589.630,520.741,319.259,383.704,874.074,242.963,323.704,30417.778,20375.556,19648.148,140851.111,13095.556,33900.000,92327.407,68894.074,71874.074,214085.926,51648.148,74420.741,288686.667,215540.000,225073.333,669846.667,161460.000,232786.667
